timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
04:29.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,38,,67.98,W,,76%,42%,3103,52,216
04:30.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,84.67,W,,,,,,
04:31.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,84.67,W,,,,,,
04:32.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,64.11,W,,,,,,
04:33.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,64.11,W,,,,,,
04:34.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,64.4,W,,,,,,
04:35.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,64.18,W,,,,,,
04:36.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,64.18,W,,,,,,
04:37.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,64.11,W,,,,,,
04:38.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81084 MiB,,15,MiB,38,,64.11,W,,,,,,
04:39.1, NVIDIA A100-SXM4-80GB,2%,0%, 81920 MiB, 80336 MiB,,763,MiB,38,,75.48,W,,,,,,
04:40.1, NVIDIA A100-SXM4-80GB,6%,0%, 81920 MiB, 78998 MiB,,2101,MiB,38,,76.84,W,,,,,,
04:41.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,38,,78.74,W,,,,,,
04:42.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,38,,75.48,W,,,,,,
04:43.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,38,,75.48,W,,,,,,
04:44.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,38,,75.48,W,,,,,,
04:45.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,38,,75.48,W,,,,,,
04:46.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,38,,75.77,W,,,,,,
04:47.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,38,,75.77,W,,,,,,
04:48.1, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 78662 MiB,,2437,MiB,43,,197.36,W,,,,,,
04:49.1, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 78662 MiB,,2437,MiB,44,,210.31,W,,,,,,
04:50.1, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 78662 MiB,,2437,MiB,45,,208.18,W,,,,,,
04:51.1, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 78662 MiB,,2437,MiB,45,,208.71,W,,,,,,
04:52.1, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 78662 MiB,,2437,MiB,45,,209.77,W,,,,,,
04:53.1, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 78662 MiB,,2437,MiB,46,,215.16,W,,,,,,
04:54.1, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 78662 MiB,,2437,MiB,46,,209.77,W,,,,,,
04:55.1, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 78662 MiB,,2437,MiB,46,,200.08,W,,,,,,
04:56.1, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 78662 MiB,,2437,MiB,46,,209.24,W,,,,,,
04:57.1, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 78662 MiB,,2437,MiB,47,,195.72,W,,,,,,
04:58.1, NVIDIA A100-SXM4-80GB,2%,0%, 81920 MiB, 78372 MiB,,2727,MiB,42,,86.86,W,,,,,,
04:59.1, NVIDIA A100-SXM4-80GB,4%,0%, 81920 MiB, 78068 MiB,,3031,MiB,41,,77.67,W,,,,,,
05:00.2, NVIDIA A100-SXM4-80GB,75%,42%, 81920 MiB, 77996 MiB,,3103,MiB,45,,195.18,W,,,,,,
05:01.2, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 77996 MiB,,3103,MiB,46,,208.95,W,,,,,,
05:02.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,47,,204.1,W,,,,,,
05:03.2, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 77996 MiB,,3103,MiB,47,,202.21,W,,,,,,
05:04.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,47,,211.96,W,,,,,,
05:05.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,47,,215.16,W,,,,,,
05:06.2, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 77996 MiB,,3103,MiB,48,,211.38,W,,,,,,
05:07.2, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 77996 MiB,,3103,MiB,48,,210.84,W,,,,,,
05:08.2, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 77996 MiB,,3103,MiB,48,,210.31,W,,,,,,
05:09.2, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 77996 MiB,,3103,MiB,48,,211.38,W,,,,,,
05:10.2, NVIDIA A100-SXM4-80GB,74%,40%, 81920 MiB, 77996 MiB,,3103,MiB,48,,213.27,W,,,,,,
05:11.2, NVIDIA A100-SXM4-80GB,74%,40%, 81920 MiB, 77996 MiB,,3103,MiB,48,,214.91,W,,,,,,
05:12.2, NVIDIA A100-SXM4-80GB,74%,40%, 81920 MiB, 77996 MiB,,3103,MiB,48,,209.24,W,,,,,,
05:13.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,48,,204.64,W,,,,,,
05:14.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,207.06,W,,,,,,
05:15.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,210.31,W,,,,,,
05:16.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,211.38,W,,,,,,
05:17.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,212.74,W,,,,,,
05:18.2, NVIDIA A100-SXM4-80GB,74%,40%, 81920 MiB, 77996 MiB,,3103,MiB,49,,212.49,W,,,,,,
05:19.2, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,205.75,W,,,,,,
05:20.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,205.75,W,,,,,,
05:21.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,213.27,W,,,,,,
05:22.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,213.85,W,,,,,,
05:23.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,213.56,W,,,,,,
05:24.2, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,204.1,W,,,,,,
05:25.3, NVIDIA A100-SXM4-80GB,73%,41%, 81920 MiB, 77996 MiB,,3103,MiB,49,,205.46,W,,,,,,
05:26.3, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,50,,214.09,W,,,,,,
05:27.3, NVIDIA A100-SXM4-80GB,75%,41%, 81920 MiB, 77996 MiB,,3103,MiB,50,,220.06,W,,,,,,
05:28.3, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,50,,202.74,W,,,,,,
05:29.3, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,50,,215.16,W,,,,,,
05:30.3, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,50,,207.06,W,,,,,,
05:31.3, NVIDIA A100-SXM4-80GB,74%,40%, 81920 MiB, 77996 MiB,,3103,MiB,50,,208.95,W,,,,,,
05:32.3, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,50,,214.91,W,,,,,,
05:33.3, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,50,,205.99,W,,,,,,
05:34.3, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,50,,216.52,W,,,,,,
05:35.3, NVIDIA A100-SXM4-80GB,74%,41%, 81920 MiB, 77996 MiB,,3103,MiB,50,,207.06,W,,,,,,
