timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
01:21.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,37,,65.26,W,,92%,63%,4065,55,252
01:22.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,80.63,W,,,,,,
01:23.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,80.63,W,,,,,,
01:24.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,61.14,W,,,,,,
01:25.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,61.14,W,,,,,,
01:26.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,61.14,W,,,,,,
01:27.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,61.14,W,,,,,,
01:28.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.04,W,,,,,,
01:29.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.57,W,,,,,,
01:30.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.57,W,,,,,,
01:31.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,61.68,W,,,,,,
01:32.1, NVIDIA A100-SXM4-80GB,16%,0%, 81920 MiB, 80370 MiB,,729,MiB,37,,71.98,W,,,,,,
01:33.1, NVIDIA A100-SXM4-80GB,2%,0%, 81920 MiB, 80128 MiB,,971,MiB,38,,72.22,W,,,,,,
01:34.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,38,,71.69,W,,,,,,
01:35.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,38,,71.69,W,,,,,,
01:36.1, NVIDIA A100-SXM4-80GB,13%,8%, 81920 MiB, 77772 MiB,,3327,MiB,40,,207.06,W,,,,,,
01:37.1, NVIDIA A100-SXM4-80GB,93%,64%, 81920 MiB, 77772 MiB,,3327,MiB,44,,232.71,W,,,,,,
01:38.1, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77772 MiB,,3327,MiB,45,,250.8,W,,,,,,
01:39.1, NVIDIA A100-SXM4-80GB,93%,63%, 81920 MiB, 77772 MiB,,3327,MiB,46,,244.6,W,,,,,,
01:40.1, NVIDIA A100-SXM4-80GB,93%,64%, 81920 MiB, 77772 MiB,,3327,MiB,46,,251.09,W,,,,,,
01:41.1, NVIDIA A100-SXM4-80GB,93%,63%, 81920 MiB, 77772 MiB,,3327,MiB,47,,246.49,W,,,,,,
01:42.1, NVIDIA A100-SXM4-80GB,93%,64%, 81920 MiB, 77772 MiB,,3327,MiB,47,,246.2,W,,,,,,
01:43.1, NVIDIA A100-SXM4-80GB,10%,2%, 81920 MiB, 77696 MiB,,3403,MiB,43,,82.97,W,,,,,,
01:44.1, NVIDIA A100-SXM4-80GB,8%,0%, 81920 MiB, 77388 MiB,,3711,MiB,41,,82,W,,,,,,
01:45.1, NVIDIA A100-SXM4-80GB,11%,0%, 81920 MiB, 77034 MiB,,4065,MiB,42,,196.84,W,,,,,,
01:46.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,46,,246.73,W,,,,,,
01:47.2, NVIDIA A100-SXM4-80GB,92%,64%, 81920 MiB, 77034 MiB,,4065,MiB,47,,250.51,W,,,,,,
01:48.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,47,,239.99,W,,,,,,
01:49.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,48,,253.99,W,,,,,,
01:50.2, NVIDIA A100-SXM4-80GB,93%,64%, 81920 MiB, 77034 MiB,,4065,MiB,48,,234.86,W,,,,,,
01:51.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,48,,248.62,W,,,,,,
01:52.2, NVIDIA A100-SXM4-80GB,90%,61%, 81920 MiB, 77034 MiB,,4065,MiB,48,,250.51,W,,,,,,
01:53.2, NVIDIA A100-SXM4-80GB,92%,64%, 81920 MiB, 77034 MiB,,4065,MiB,49,,232.98,W,,,,,,
01:54.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,49,,246.49,W,,,,,,
01:55.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,49,,255.34,W,,,,,,
01:56.2, NVIDIA A100-SXM4-80GB,93%,64%, 81920 MiB, 77034 MiB,,4065,MiB,49,,249.2,W,,,,,,
01:57.2, NVIDIA A100-SXM4-80GB,92%,62%, 81920 MiB, 77034 MiB,,4065,MiB,50,,253.22,W,,,,,,
01:58.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,50,,247.56,W,,,,,,
01:59.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,50,,236.76,W,,,,,,
02:00.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,50,,251.09,W,,,,,,
02:01.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,50,,261.83,W,,,,,,
02:02.2, NVIDIA A100-SXM4-80GB,93%,64%, 81920 MiB, 77034 MiB,,4065,MiB,50,,245.66,W,,,,,,
02:03.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,50,,254.04,W,,,,,,
02:04.2, NVIDIA A100-SXM4-80GB,92%,64%, 81920 MiB, 77034 MiB,,4065,MiB,51,,232.73,W,,,,,,
02:05.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,51,,250.8,W,,,,,,
02:06.2, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,51,,252.92,W,,,,,,
02:07.2, NVIDIA A100-SXM4-80GB,92%,64%, 81920 MiB, 77034 MiB,,4065,MiB,51,,247.85,W,,,,,,
02:08.3, NVIDIA A100-SXM4-80GB,93%,64%, 81920 MiB, 77034 MiB,,4065,MiB,51,,244.31,W,,,,,,
02:09.3, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,51,,245.42,W,,,,,,
02:10.3, NVIDIA A100-SXM4-80GB,92%,64%, 81920 MiB, 77034 MiB,,4065,MiB,51,,243.78,W,,,,,,
02:11.3, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,51,,259.94,W,,,,,,
02:12.3, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,51,,241.65,W,,,,,,
02:13.3, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,51,,250.51,W,,,,,,
02:14.3, NVIDIA A100-SXM4-80GB,93%,64%, 81920 MiB, 77034 MiB,,4065,MiB,51,,255.34,W,,,,,,
02:15.3, NVIDIA A100-SXM4-80GB,92%,62%, 81920 MiB, 77034 MiB,,4065,MiB,52,,234.09,W,,,,,,
02:16.3, NVIDIA A100-SXM4-80GB,92%,64%, 81920 MiB, 77034 MiB,,4065,MiB,52,,251.33,W,,,,,,
02:17.3, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,52,,258.59,W,,,,,,
02:18.3, NVIDIA A100-SXM4-80GB,92%,63%, 81920 MiB, 77034 MiB,,4065,MiB,52,,246.49,W,,,,,,
02:19.3, NVIDIA A100-SXM4-80GB,93%,64%, 81920 MiB, 77034 MiB,,4065,MiB,52,,255.64,W,,,,,,
02:20.3, NVIDIA A100-SXM4-80GB,93%,63%, 81920 MiB, 77034 MiB,,4065,MiB,52,,260.18,W,,,,,,
02:21.3, NVIDIA A100-SXM4-80GB,92%,62%, 81920 MiB, 77034 MiB,,4065,MiB,52,,237.33,W,,,,,,
02:22.3, NVIDIA A100-SXM4-80GB,92%,64%, 81920 MiB, 77034 MiB,,4065,MiB,52,,250.8,W,,,,,,
