timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
04:20.3, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,38,,67.74,W,,14%,1%,1730,39,78
04:21.3, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,39,,79.57,W,,,,,,
04:22.3, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,39,,65.01,W,,,,,,
04:23.3, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,61.46,W,,,,,,
04:24.3, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,61.46,W,,,,,,
04:25.3, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,38,,61.39,W,,,,,,
04:26.3, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 79656 MiB,,1443,MiB,38,,75.19,W,,,,,,
04:27.3, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 77594 MiB,,3505,MiB,38,,72.22,W,,,,,,
04:28.3, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 77594 MiB,,3505,MiB,38,,71.98,W,,,,,,
04:29.3, NVIDIA A100-SXM4-80GB,12%,5%, 81920 MiB, 69340 MiB,,11759,MiB,39,,87.1,W,,,,,,
04:30.4, NVIDIA A100-SXM4-80GB,16%,2%, 81920 MiB, 79580 MiB,,1519,MiB,39,,85.49,W,,,,,,
04:31.4, NVIDIA A100-SXM4-80GB,12%,2%, 81920 MiB, 79580 MiB,,1519,MiB,39,,85.49,W,,,,,,
04:32.4, NVIDIA A100-SXM4-80GB,14%,2%, 81920 MiB, 79580 MiB,,1519,MiB,39,,75.48,W,,,,,,
04:33.4, NVIDIA A100-SXM4-80GB,14%,1%, 81920 MiB, 79580 MiB,,1519,MiB,39,,74.95,W,,,,,,
04:34.4, NVIDIA A100-SXM4-80GB,14%,2%, 81920 MiB, 79580 MiB,,1519,MiB,39,,80.1,W,,,,,,
04:35.4, NVIDIA A100-SXM4-80GB,14%,2%, 81920 MiB, 79580 MiB,,1519,MiB,39,,77.38,W,,,,,,
04:36.4, NVIDIA A100-SXM4-80GB,14%,2%, 81920 MiB, 79580 MiB,,1519,MiB,39,,75.48,W,,,,,,
04:37.4, NVIDIA A100-SXM4-80GB,14%,2%, 81920 MiB, 79580 MiB,,1519,MiB,39,,75.48,W,,,,,,
04:38.4, NVIDIA A100-SXM4-80GB,14%,2%, 81920 MiB, 79580 MiB,,1519,MiB,39,,76.31,W,,,,,,
