timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
06:38.8, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,53,,233.8,W,,,,,,
06:39.8, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,54,,258.51,W,,,,,,
06:40.8, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,54,,239.98,W,,,,,,
06:41.8, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,54,,277.34,W,,,,,,
06:42.8, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,54,,250.51,W,,,,,,
06:43.8, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,54,,222.48,W,,,,,,
06:44.8, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,54,,230.55,W,,,,,,
06:45.8, NVIDIA A100-SXM4-80GB,70%,56%, 81920 MiB, 48524 MiB,,32575,MiB,54,,239.45,W,,,,,,
06:46.9, NVIDIA A100-SXM4-80GB,71%,53%, 81920 MiB, 48524 MiB,,32575,MiB,55,,310.28,W,,,,,,
06:47.9, NVIDIA A100-SXM4-80GB,75%,56%, 81920 MiB, 48524 MiB,,32575,MiB,55,,327.73,W,,,,,,
06:48.9, NVIDIA A100-SXM4-80GB,78%,58%, 81920 MiB, 48524 MiB,,32575,MiB,56,,325.61,W,,,,,,
06:49.9, NVIDIA A100-SXM4-80GB,81%,61%, 81920 MiB, 48524 MiB,,32575,MiB,56,,210.4,W,,,,,,
06:50.9, NVIDIA A100-SXM4-80GB,86%,63%, 81920 MiB, 48524 MiB,,32575,MiB,57,,310.28,W,,,,,,
06:51.9, NVIDIA A100-SXM4-80GB,83%,62%, 81920 MiB, 48524 MiB,,32575,MiB,56,,330.34,W,,,,,,
06:52.9, NVIDIA A100-SXM4-80GB,83%,62%, 81920 MiB, 48524 MiB,,32575,MiB,56,,322.67,W,,,,,,
06:53.9, NVIDIA A100-SXM4-80GB,85%,64%, 81920 MiB, 48524 MiB,,32575,MiB,56,,337.27,W,,,,,,
06:54.9, NVIDIA A100-SXM4-80GB,87%,67%, 81920 MiB, 48524 MiB,,32575,MiB,56,,282.17,W,,,,,,
06:55.9, NVIDIA A100-SXM4-80GB,83%,65%, 81920 MiB, 48524 MiB,,32575,MiB,56,,228.71,W,,,,,,
06:56.9, NVIDIA A100-SXM4-80GB,81%,63%, 81920 MiB, 48524 MiB,,32575,MiB,56,,270.34,W,,,,,,
06:57.9, NVIDIA A100-SXM4-80GB,77%,61%, 81920 MiB, 48524 MiB,,32575,MiB,56,,253.16,W,,,,,,
06:58.9, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,57,,226,W,,,,,,
06:59.9, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,57,,267.4,W,,,,,,
07:00.9, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,56,,237.57,W,,,,,,
07:01.9, NVIDIA A100-SXM4-80GB,73%,58%, 81920 MiB, 48524 MiB,,32575,MiB,57,,224.93,W,,,,,,
07:02.9, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,57,,293.75,W,,,,,,
07:03.9, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,57,,231.1,W,,,,,,
07:04.9, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,57,,235.39,W,,,,,,
07:05.9, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,57,,263.41,W,,,,,,
07:06.9, NVIDIA A100-SXM4-80GB,77%,60%, 81920 MiB, 48524 MiB,,32575,MiB,57,,242.96,W,,,,,,
07:07.9, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,57,,290.95,W,,,,,,
07:09.0, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,57,,259.33,W,,,,,,
07:10.0, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,57,,226.56,W,,,,,,
07:11.0, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,58,,203.92,W,,,,,,
07:12.0, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,58,,244.85,W,,,,,,
07:13.0, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,59,,317.56,W,,,,,,
07:14.0, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,59,,328.02,W,,,,,,
07:15.0, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,58,,327.87,W,,,,,,
07:16.0, NVIDIA A100-SXM4-80GB,70%,55%, 81920 MiB, 48524 MiB,,32575,MiB,58,,336.61,W,,,,,,
07:17.0, NVIDIA A100-SXM4-80GB,70%,55%, 81920 MiB, 48524 MiB,,32575,MiB,58,,239.45,W,,,,,,
07:18.0, NVIDIA A100-SXM4-80GB,73%,55%, 81920 MiB, 48524 MiB,,32575,MiB,58,,228.69,W,,,,,,
07:19.0, NVIDIA A100-SXM4-80GB,76%,57%, 81920 MiB, 48524 MiB,,32575,MiB,58,,286.66,W,,,,,,
07:20.0, NVIDIA A100-SXM4-80GB,78%,60%, 81920 MiB, 48524 MiB,,32575,MiB,58,,242.15,W,,,,,,
07:21.0, NVIDIA A100-SXM4-80GB,84%,64%, 81920 MiB, 48524 MiB,,32575,MiB,59,,286.57,W,,,,,,
07:22.0, NVIDIA A100-SXM4-80GB,83%,63%, 81920 MiB, 48524 MiB,,32575,MiB,58,,235.12,W,,,,,,
07:23.0, NVIDIA A100-SXM4-80GB,85%,64%, 81920 MiB, 48524 MiB,,32575,MiB,59,,288.54,W,,,,,,
07:24.0, NVIDIA A100-SXM4-80GB,86%,64%, 81920 MiB, 48524 MiB,,32575,MiB,59,,249.63,W,,,,,,
07:25.0, NVIDIA A100-SXM4-80GB,86%,68%, 81920 MiB, 48524 MiB,,32575,MiB,58,,237.53,W,,,,,,
07:26.0, NVIDIA A100-SXM4-80GB,83%,64%, 81920 MiB, 48524 MiB,,32575,MiB,59,,237.29,W,,,,,,
07:27.1, NVIDIA A100-SXM4-80GB,83%,64%, 81920 MiB, 48524 MiB,,32575,MiB,59,,280.94,W,,,,,,
07:28.1, NVIDIA A100-SXM4-80GB,80%,63%, 81920 MiB, 48524 MiB,,32575,MiB,59,,253.1,W,,,,,,
07:29.1, NVIDIA A100-SXM4-80GB,76%,60%, 81920 MiB, 48524 MiB,,32575,MiB,59,,225.19,W,,,,,,
07:30.1, NVIDIA A100-SXM4-80GB,74%,59%, 81920 MiB, 48524 MiB,,32575,MiB,58,,266.24,W,,,,,,
07:31.1, NVIDIA A100-SXM4-80GB,73%,57%, 81920 MiB, 48524 MiB,,32575,MiB,58,,251.22,W,,,,,,
07:32.1, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,58,,249.92,W,,,,,,
07:33.1, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,59,,240.27,W,,,,,,
07:34.1, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,191.4,W,,,,,,
07:35.1, NVIDIA A100-SXM4-80GB,71%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,263,W,,,,,,
07:36.1, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,314.65,W,,,,,,
07:37.1, NVIDIA A100-SXM4-80GB,72%,56%, 81920 MiB, 48524 MiB,,32575,MiB,60,,325.09,W,,,,,,
07:38.1, NVIDIA A100-SXM4-80GB,72%,57%, 81920 MiB, 48524 MiB,,32575,MiB,60,,325.52,W,,,,,,
07:39.1, NVIDIA A100-SXM4-80GB,82%,62%, 81920 MiB, 48524 MiB,,32575,MiB,60,,329.94,W,,,,,,
07:40.1, NVIDIA A100-SXM4-80GB,83%,61%, 81920 MiB, 48524 MiB,,32575,MiB,60,,331.01,W,,,,,,
07:41.1, NVIDIA A100-SXM4-80GB,85%,63%, 81920 MiB, 48524 MiB,,32575,MiB,60,,336.36,W,,,,,,
07:42.1, NVIDIA A100-SXM4-80GB,87%,64%, 81920 MiB, 48524 MiB,,32575,MiB,60,,295.47,W,,,,,,
07:43.1, NVIDIA A100-SXM4-80GB,85%,67%, 81920 MiB, 48524 MiB,,32575,MiB,60,,246.16,W,,,,,,
07:44.1, NVIDIA A100-SXM4-80GB,83%,65%, 81920 MiB, 48524 MiB,,32575,MiB,60,,243.18,W,,,,,,
07:45.2, NVIDIA A100-SXM4-80GB,79%,62%, 81920 MiB, 48524 MiB,,32575,MiB,60,,273.46,W,,,,,,
07:46.2, NVIDIA A100-SXM4-80GB,77%,60%, 81920 MiB, 48524 MiB,,32575,MiB,60,,245.58,W,,,,,,
07:47.2, NVIDIA A100-SXM4-80GB,74%,58%, 81920 MiB, 48524 MiB,,32575,MiB,60,,228.42,W,,,,,,
