timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
01:23.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,36,,66.38,W,,16%,3%,4062,39,84
01:24.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,76.55,W,,,,,,
01:25.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,60.68,W,,,,,,
01:26.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.85,W,,,,,,
01:27.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.78,W,,,,,,
01:28.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,60.32,W,,,,,,
01:29.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,62.21,W,,,,,,
01:30.5, NVIDIA A100-SXM4-80GB,7%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
01:31.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.33,W,,,,,,
01:32.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.33,W,,,,,,
01:33.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.33,W,,,,,,
01:34.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.33,W,,,,,,
01:35.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
01:36.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,71.97,W,,,,,,
01:37.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:38.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
01:39.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:40.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:41.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:42.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:43.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.33,W,,,,,,
01:44.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,71.45,W,,,,,,
01:45.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:46.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
01:47.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:48.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
01:49.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
01:50.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:51.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
01:52.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:53.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,73.04,W,,,,,,
01:54.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
01:55.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:56.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:57.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
01:58.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
01:59.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
02:00.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,71.73,W,,,,,,
02:01.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:02.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:03.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:04.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:05.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
02:06.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:07.6, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:08.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,73.95,W,,,,,,
02:09.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,71,W,,,,,,
02:10.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:11.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:12.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:13.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:14.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:15.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:16.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,73.62,W,,,,,,
02:17.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:18.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:19.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:20.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:21.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:22.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:23.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:24.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.91,W,,,,,,
02:25.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,70.62,W,,,,,,
02:26.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:27.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:28.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:29.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
02:30.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
02:31.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:32.7, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,71.81,W,,,,,,
02:33.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
02:34.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
02:35.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
02:36.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:37.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
02:38.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
02:39.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:40.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:41.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,38,,73.86,W,,,,,,
02:42.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.38,W,,,,,,
02:43.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:44.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.46,W,,,,,,
02:45.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.62,W,,,,,,
02:46.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
02:47.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 80492 MiB,,607,MiB,37,,70.7,W,,,,,,
