timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
32:32.4, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,36,,64.18,W,,40%,24%,8767,45,146
32:33.4, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,73.29,W,,,,,,
32:34.4, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,62.57,W,,,,,,
32:35.4, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.54,W,,,,,,
32:36.4, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.54,W,,,,,,
32:37.4, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,61.68,W,,,,,,
32:38.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,36,,59.78,W,,,,,,
32:39.5, NVIDIA A100-SXM4-80GB,43%,3%, 81920 MiB, 77594 MiB,,3505,MiB,37,,74.41,W,,,,,,
32:40.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 77594 MiB,,3505,MiB,37,,75.48,W,,,,,,
32:41.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 77594 MiB,,3505,MiB,37,,69.55,W,,,,,,
32:42.5, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 79580 MiB,,1519,MiB,37,,69.79,W,,,,,,
32:43.5, NVIDIA A100-SXM4-80GB,42%,25%, 81920 MiB, 72668 MiB,,8431,MiB,39,,124.58,W,,,,,,
32:44.5, NVIDIA A100-SXM4-80GB,33%,20%, 81920 MiB, 72668 MiB,,8431,MiB,41,,120.01,W,,,,,,
32:45.5, NVIDIA A100-SXM4-80GB,43%,26%, 81920 MiB, 72668 MiB,,8431,MiB,40,,134.04,W,,,,,,
32:46.5, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72668 MiB,,8431,MiB,41,,121.91,W,,,,,,
32:47.5, NVIDIA A100-SXM4-80GB,33%,19%, 81920 MiB, 72668 MiB,,8431,MiB,41,,154.33,W,,,,,,
32:48.5, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72668 MiB,,8431,MiB,41,,117.7,W,,,,,,
32:49.5, NVIDIA A100-SXM4-80GB,42%,27%, 81920 MiB, 72668 MiB,,8431,MiB,41,,123.61,W,,,,,,
32:50.5, NVIDIA A100-SXM4-80GB,40%,23%, 81920 MiB, 72668 MiB,,8431,MiB,42,,194.5,W,,,,,,
32:51.5, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72668 MiB,,8431,MiB,42,,120.66,W,,,,,,
32:52.5, NVIDIA A100-SXM4-80GB,33%,20%, 81920 MiB, 72668 MiB,,8431,MiB,42,,150.85,W,,,,,,
32:53.5, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72668 MiB,,8431,MiB,42,,131.91,W,,,,,,
32:54.5, NVIDIA A100-SXM4-80GB,43%,26%, 81920 MiB, 72668 MiB,,8431,MiB,42,,138.36,W,,,,,,
32:55.5, NVIDIA A100-SXM4-80GB,34%,20%, 81920 MiB, 72668 MiB,,8431,MiB,43,,122.68,W,,,,,,
32:56.5, NVIDIA A100-SXM4-80GB,43%,26%, 81920 MiB, 72668 MiB,,8431,MiB,43,,135.75,W,,,,,,
32:57.5, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72668 MiB,,8431,MiB,43,,119.31,W,,,,,,
32:58.5, NVIDIA A100-SXM4-80GB,33%,19%, 81920 MiB, 72668 MiB,,8431,MiB,43,,110.53,W,,,,,,
32:59.5, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72668 MiB,,8431,MiB,43,,121.19,W,,,,,,
33:00.6, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72668 MiB,,8431,MiB,43,,144.36,W,,,,,,
33:01.6, NVIDIA A100-SXM4-80GB,33%,19%, 81920 MiB, 72668 MiB,,8431,MiB,43,,257.16,W,,,,,,
33:02.6, NVIDIA A100-SXM4-80GB,11%,0%, 81920 MiB, 72390 MiB,,8709,MiB,41,,79.53,W,,,,,,
33:03.6, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72332 MiB,,8767,MiB,42,,134.11,W,,,,,,
33:04.6, NVIDIA A100-SXM4-80GB,43%,26%, 81920 MiB, 72332 MiB,,8767,MiB,43,,118.91,W,,,,,,
33:05.6, NVIDIA A100-SXM4-80GB,33%,19%, 81920 MiB, 72332 MiB,,8767,MiB,43,,123.51,W,,,,,,
33:06.6, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72332 MiB,,8767,MiB,43,,124.43,W,,,,,,
33:07.6, NVIDIA A100-SXM4-80GB,44%,26%, 81920 MiB, 72332 MiB,,8767,MiB,43,,141.65,W,,,,,,
33:08.6, NVIDIA A100-SXM4-80GB,33%,19%, 81920 MiB, 72332 MiB,,8767,MiB,43,,262.5,W,,,,,,
33:09.6, NVIDIA A100-SXM4-80GB,42%,27%, 81920 MiB, 72332 MiB,,8767,MiB,43,,130.62,W,,,,,,
33:10.6, NVIDIA A100-SXM4-80GB,38%,24%, 81920 MiB, 72332 MiB,,8767,MiB,43,,120.42,W,,,,,,
33:11.6, NVIDIA A100-SXM4-80GB,41%,24%, 81920 MiB, 72332 MiB,,8767,MiB,44,,148.78,W,,,,,,
