timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
32:35.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,37,,68.51,W,,98%,77%,7645,61,300
32:36.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,77.38,W,,,,,,
32:37.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,77.38,W,,,,,,
32:38.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.94,W,,,,,,
32:39.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.94,W,,,,,,
32:40.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.87,W,,,,,,
32:41.0, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.94,W,,,,,,
32:42.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.65,W,,,,,,
32:43.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,64.86,W,,,,,,
32:44.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,65.47,W,,,,,,
32:45.1, NVIDIA A100-SXM4-80GB,9%,0%, 81920 MiB, 80442 MiB,,657,MiB,37,,75.19,W,,,,,,
32:46.1, NVIDIA A100-SXM4-80GB,12%,0%, 81920 MiB, 80096 MiB,,1003,MiB,37,,77.38,W,,,,,,
32:47.1, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 78996 MiB,,2103,MiB,37,,75.1,W,,,,,,
32:48.1, NVIDIA A100-SXM4-80GB,98%,77%, 81920 MiB, 74096 MiB,,7003,MiB,43,,228.96,W,,,,,,
32:49.1, NVIDIA A100-SXM4-80GB,98%,77%, 81920 MiB, 74096 MiB,,7003,MiB,46,,260.48,W,,,,,,
32:50.1, NVIDIA A100-SXM4-80GB,98%,78%, 81920 MiB, 74096 MiB,,7003,MiB,47,,283.11,W,,,,,,
32:51.1, NVIDIA A100-SXM4-80GB,98%,76%, 81920 MiB, 74096 MiB,,7003,MiB,47,,297.04,W,,,,,,
