timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB],,memory.used,[MiB], temperature.gpu,,power.draw,[W],,GPU Utilization,Memory Utlization,Used memory,Temp,Power
01:26.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81100 MiB,,0,MiB,37,,68.81,W,,20%,5%,2896,40,91
01:27.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,76.4,W,,,,,,
01:28.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,66.91,W,,,,,,
01:29.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.94,W,,,,,,
01:30.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.65,W,,,,,,
01:31.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 81096 MiB,,3,MiB,37,,63.87,W,,,,,,
01:32.8, NVIDIA A100-SXM4-80GB,9%,0%, 81920 MiB, 80682 MiB,,417,MiB,37,,76.55,W,,,,,,
01:33.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 77594 MiB,,3505,MiB,37,,77.38,W,,,,,,
01:34.8, NVIDIA A100-SXM4-80GB,0%,0%, 81920 MiB, 77594 MiB,,3505,MiB,37,,75.19,W,,,,,,
01:35.8, NVIDIA A100-SXM4-80GB,15%,0%, 81920 MiB, 69340 MiB,,11759,MiB,37,,75.19,W,,,,,,
01:36.9, NVIDIA A100-SXM4-80GB,19%,5%, 81920 MiB, 78620 MiB,,2479,MiB,38,,94.46,W,,,,,,
01:37.9, NVIDIA A100-SXM4-80GB,16%,3%, 81920 MiB, 78620 MiB,,2479,MiB,39,,96,W,,,,,,
01:38.9, NVIDIA A100-SXM4-80GB,18%,3%, 81920 MiB, 78620 MiB,,2479,MiB,38,,85,W,,,,,,
01:39.9, NVIDIA A100-SXM4-80GB,21%,5%, 81920 MiB, 78620 MiB,,2479,MiB,38,,84.67,W,,,,,,
01:40.9, NVIDIA A100-SXM4-80GB,21%,5%, 81920 MiB, 78620 MiB,,2479,MiB,38,,87.48,W,,,,,,
01:41.9, NVIDIA A100-SXM4-80GB,21%,5%, 81920 MiB, 78620 MiB,,2479,MiB,38,,105.68,W,,,,,,
01:42.9, NVIDIA A100-SXM4-80GB,21%,5%, 81920 MiB, 78620 MiB,,2479,MiB,38,,85.1,W,,,,,,
01:43.9, NVIDIA A100-SXM4-80GB,17%,3%, 81920 MiB, 78620 MiB,,2479,MiB,39,,86.32,W,,,,,,
01:44.9, NVIDIA A100-SXM4-80GB,18%,3%, 81920 MiB, 78620 MiB,,2479,MiB,38,,88.75,W,,,,,,
01:45.9, NVIDIA A100-SXM4-80GB,21%,5%, 81920 MiB, 78620 MiB,,2479,MiB,38,,88.79,W,,,,,,
01:46.9, NVIDIA A100-SXM4-80GB,21%,5%, 81920 MiB, 78620 MiB,,2479,MiB,39,,89.9,W,,,,,,
01:47.9, NVIDIA A100-SXM4-80GB,21%,5%, 81920 MiB, 78620 MiB,,2479,MiB,39,,126.76,W,,,,,,
01:48.9, NVIDIA A100-SXM4-80GB,21%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,87.72,W,,,,,,
01:49.9, NVIDIA A100-SXM4-80GB,18%,3%, 81920 MiB, 78620 MiB,,2479,MiB,39,,88.54,W,,,,,,
01:50.9, NVIDIA A100-SXM4-80GB,20%,5%, 81920 MiB, 78620 MiB,,2479,MiB,39,,88.79,W,,,,,,
01:51.9, NVIDIA A100-SXM4-80GB,22%,5%, 81920 MiB, 78620 MiB,,2479,MiB,39,,92.86,W,,,,,,
01:52.9, NVIDIA A100-SXM4-80GB,22%,5%, 81920 MiB, 78620 MiB,,2479,MiB,39,,95.18,W,,,,,,
01:53.9, NVIDIA A100-SXM4-80GB,22%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,127.53,W,,,,,,
01:54.9, NVIDIA A100-SXM4-80GB,21%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,92.57,W,,,,,,
01:56.0, NVIDIA A100-SXM4-80GB,18%,3%, 81920 MiB, 78620 MiB,,2479,MiB,39,,92.22,W,,,,,,
01:57.0, NVIDIA A100-SXM4-80GB,21%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,93.57,W,,,,,,
01:58.0, NVIDIA A100-SXM4-80GB,22%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,83.41,W,,,,,,
01:59.0, NVIDIA A100-SXM4-80GB,21%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,85.59,W,,,,,,
02:00.0, NVIDIA A100-SXM4-80GB,21%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,149.67,W,,,,,,
02:01.0, NVIDIA A100-SXM4-80GB,22%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,88.79,W,,,,,,
02:02.0, NVIDIA A100-SXM4-80GB,18%,3%, 81920 MiB, 78620 MiB,,2479,MiB,39,,92.04,W,,,,,,
02:03.0, NVIDIA A100-SXM4-80GB,20%,5%, 81920 MiB, 78620 MiB,,2479,MiB,39,,89.37,W,,,,,,
02:04.0, NVIDIA A100-SXM4-80GB,22%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,84.76,W,,,,,,
02:05.0, NVIDIA A100-SXM4-80GB,22%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,83.7,W,,,,,,
02:06.0, NVIDIA A100-SXM4-80GB,22%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,89.9,W,,,,,,
02:07.0, NVIDIA A100-SXM4-80GB,21%,5%, 81920 MiB, 78620 MiB,,2479,MiB,39,,100.84,W,,,,,,
02:08.0, NVIDIA A100-SXM4-80GB,22%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,85.83,W,,,,,,
02:09.0, NVIDIA A100-SXM4-80GB,22%,6%, 81920 MiB, 78620 MiB,,2479,MiB,39,,88.54,W,,,,,,
